state,president
Alabama,Rep
Alaska,Rep
American Samoa,NP
Arizona,Rep
Arkansas,Rep
California,Dem
Colorado,Dem
Connecticut,Dem
Delaware,Dem
District of Columbia,Dem
Florida,Rep
Georgia,Rep
Guam,Dem
Hawaii,Dem
Idaho,Rep
Illinois,Dem
Indiana,Rep
Iowa,Rep
Kansas,Rep
Kentucky,Rep
Louisiana,Rep
Maine,Dem
Maryland,Dem
Massachusetts,Dem
Michigan,
Minnesota,Dem
Mississippi,Rep
Missouri,Rep
Montana,Rep
N. Mariana Islands,Ind
Nebraska,Rep
Nevada,Dem
New Hampshire,
New Jersey,Dem
New Mexico,Dem
New York,Dem
North Carolina,Rep
North Dakota,Rep
Ohio,Rep
Oklahoma,Rep
Oregon,Dem
Pennsylvania,Rep
Puerto Rico,PNP/Rep
Rhode Island,Dem
South Carolina,Rep
South Dakota,Rep
Tennessee,Rep
Texas,Rep
U.S. Virgin Islands,Dem
Utah,Rep
Vermont,Dem
Virginia,Dem
Washington,Dem
West Virginia,Rep
Wisconsin,Rep
Wyoming,Rep
